Date,Canada,Chile,Mexico,Taiwan China,Hong Kong China,Japan,South Korea,Macao China,Maldives,Cambodia,Indonesia,Singapore,New Zealand,USA,Thailand,Turkey,Australia,Hawaii,Austria,Czech
2023M08,27321.9725351868,1689.1065084624538,10738.409534127844,25803.96818942009,3602483.592609041,313826.23445783416,214297.95754713524,1909463.907939822,33607.5,41422.66160212068,89731.0283931607,266704.07463416166,17898.221003784216,167782.64079931885,450879.0425183432,17224.65878101708,64326.7023233256,1279.1643713188078,20054.104433019966,22364.675841678298
2023M09,25212.926243743917,1707.5454459824718,11545.20663843199,23794.901142130442,3171393.4534549187,262542.2705856103,208784.15313811234,1552149.957517575,27605.5,39259.49915975268,82091.52157920897,178889.10445736276,19701.99269267136,129074.03651293102,363820.25160539214,23304.430633716627,56771.87053080658,1477.0180348441554,17634.375835902487,19713.08744076351
2023M10,17663.270307573253,2307.983642824412,11476.566236580322,28604.414700197092,3998873.819761295,286410.884829968,239811.2185615873,1991449.1546591325,27246.0,46919.33586613323,79438.98406941711,199716.8585512866,21261.464020047893,99418.41723167314,396366.496377146,22419.938667992057,61672.2537191231,1093.7499496907335,20444.832743466875,21918.937824453304
2023M11,9651.660571324923,3031.5398971837913,15359.651827046193,26849.180325377347,4033937.700981542,258346.42744825408,216147.8524833948,2022253.6996366307,19830.0,53749.53836872373,63183.12367211832,200850.68061255163,28397.06294148501,77317.42736437838,421645.3243921883,21130.002153208734,65530.28713173129,852.8602694548546,12053.724144368398,12373.187321235966
2023M12,13796.129338284964,3902.60315195742,24205.00265931252,29887.571974237457,4677019.5,265900.11814482854,241310.91723459083,2223525.2736661127,18329.0,57772.78226712693,52523.440058226195,216052.83650116736,28208.847399256145,98238.69099840151,500119.50766408246,18847.021923285425,76209.9109510137,1123.307525525342,10528.0327415732,10392.582966122452
2024M01,16109.279825824819,3383.0472723746348,13235.612725302866,29774.217950380433,4828068.5,331433.10359570826,235431.1164532173,2216068.0,25817.0,60909.74574702376,74369.91438461984,287159.5344222812,31038.76452980573,174531.88147171307,646518.8217227864,19990.77152742478,91664.57158162018,1261.4503632083477,8326.916302610558,8638.887127701873
2024M02,17398.74987313399,3773.5,17595.367773071997,38926.11805250471,4480329.5,359187.2391942847,281437.78750051215,2423066.5,32395.5,75843.81768268332,114704.40963978121,346667.6769629127,47932.93710833389,126032.36378697373,750763.0406123707,24930.664007191084,158763.55558133454,1982.8548062313903,13184.558261088054,14280.613185740453
2024M03,11771.477608740817,3790.0,25014.52358908697,32682.203055517937,4073382.0,334262.9073890364,327366.3127136891,2100698.0,16341.0,89222.8010664476,100534.36504384871,287544.0,35300.83896900337,113436.6009418212,688936.609785753,27253.690845090965,94093.69218152967,948.3765100846127,14574.412317751556,13350.915775551246
2024M04,14950.246410341784,3237.5,13298.260711119867,39370.44367894019,4164426.0,381024.5701651125,328841.0881746164,2200265.0,16898.5,70645.55851484496,106691.22565485453,296608.0,36166.134889688125,115056.02728687463,680749.6674457843,31749.70493082317,81429.00590260993,1109.897315345148,19898.976073516984,18082.49521369972
2024M05,23004.88932532774,2696.5,13390.326012016152,38796.816310448645,4267445.0,400079.3958187967,346057.31813114247,2143323.5,18968.5,75992.13585651481,108047.34211475342,274123.5,26418.777404816778,160612.99974306035,625183.4847953934,34588.70218865249,75780.10745638199,1360.8795850701317,26289.656826364702,27134.881823315973
2024M06,29405.504538757243,2146.5,12430.994681374963,36040.58145311436,3817541.5,478041.1555355617,352658.7236467421,1926389.5,23418.0,73201.11195067418,114487.39361337748,254111.5,17533.712929625028,164174.35663803632,678212.2547637115,33697.330661717024,67391.46115656609,1464.1471918694576,29919.30411508894,32982.818031848255
2024M07,40796.456301040234,1921.5,11062.0,44947.73047612395,4281821.5,582028.0913493079,397398.36708608794,2369177.0,32898.0,84860.87496148433,140794.4734557365,375259.0,28095.213119783646,210096.78449695147,775089.578846015,37116.488869114306,134169.3552952644,1189.3260625919233,36108.96119083612,35598.756983275176
